match_id,inning,over,ball,batter,bowler,non_striker,runs_batter,runs_extra,total_runs,is_wicket
M001,1,1,1,UT001,UT021,UT002,1,0,1,0
M001,1,1,2,UT002,UT021,UT001,0,0,0,0
M001,1,1,3,UT002,UT021,UT001,4,0,4,0
M001,1,1,4,UT002,UT021,UT001,1,0,1,0
M001,1,1,5,UT001,UT021,UT002,2,0,2,0
M001,1,1,6,UT001,UT021,UT002,0,0,0,0
M001,1,2,1,UT002,UT022,UT001,1,0,1,0
M001,1,2,2,UT001,UT022,UT002,6,0,6,0
M001,1,2,3,UT001,UT022,UT002,0,0,0,0
M001,1,2,4,UT001,UT022,UT002,1,0,1,0
M001,1,2,5,UT002,UT022,UT001,2,0,2,0
M001,1,2,6,UT002,UT022,UT001,0,1,1,0
M001,1,3,1,UT001,UT023,UT002,4,0,4,0
M001,1,3,2,UT001,UT023,UT002,1,0,1,0
M001,1,3,3,UT002,UT023,UT001,0,0,0,0
M001,1,3,4,UT002,UT023,UT001,2,0,2,0
M001,1,3,5,UT001,UT023,UT002,1,0,1,0
M001,1,3,6,UT002,UT023,UT001,0,0,0,1
M001,1,4,1,UT001,UT024,UT002,1,0,1,0
M001,1,4,2,UT002,UT024,UT001,4,0,4,0
M001,1,4,3,UT002,UT024,UT001,0,0,0,0
M001,1,4,4,UT002,UT024,UT001,2,0,2,0
M001,1,4,5,UT001,UT024,UT002,1,0,1,0
M001,1,4,6,UT001,UT024,UT002,6,0,6,0
M001,1,5,1,UT002,UT025,UT001,0,0,0,0
M001,1,5,2,UT002,UT025,UT001,1,0,1,0
M001,1,5,3,UT001,UT025,UT002,2,0,2,0
M001,1,5,4,UT001,UT025,UT002,4,0,4,0
M001,1,5,5,UT001,UT025,UT002,0,0,0,0
M001,1,5,6,UT002,UT025,UT001,1,0,1,0
M001,1,6,1,UT001,UT026,UT002,6,0,6,0
M001,1,6,2,UT001,UT026,UT002,0,0,0,0
M001,1,6,3,UT002,UT026,UT001,1,0,1,0
M001,1,6,4,UT001,UT026,UT002,4,0,4,0
M001,1,6,5,UT002,UT026,UT001,0,0,0,0
M001,1,6,6,UT001,UT026,UT002,2,0,2,0
M001,2,1,1,UT011,UT031,UT012,0,0,0,0
M001,2,1,2,UT012,UT031,UT011,1,0,1,0
M001,2,1,3,UT011,UT031,UT012,4,0,4,0
M001,2,1,4,UT011,UT031,UT012,2,0,2,0
M001,2,1,5,UT012,UT031,UT011,0,0,0,0
M001,2,1,6,UT012,UT031,UT011,1,0,1,0
M001,2,2,1,UT011,UT032,UT012,6,0,6,0
M001,2,2,2,UT011,UT032,UT012,0,0,0,0
M001,2,2,3,UT011,UT032,UT012,1,0,1,0
M001,2,2,4,UT012,UT032,UT011,4,0,4,0
M001,2,2,5,UT012,UT032,UT011,0,0,0,1
M001,2,2,6,UT011,UT032,UT012,2,0,2,0
M001,2,3,1,UT012,UT033,UT011,1,0,1,0
M001,2,3,2,UT011,UT033,UT012,4,0,4,0
M001,2,3,3,UT011,UT033,UT012,0,0,0,0
M001,2,3,4,UT012,UT033,UT011,2,0,2,0
M001,2,3,5,UT011,UT033,UT012,1,0,1,0
M001,2,3,6,UT012,UT033,UT011,0,0,0,0
M001,2,4,1,UT011,UT034,UT012,2,0,2,0
M001,2,4,2,UT012,UT034,UT011,6,0,6,0
M001,2,4,3,UT012,UT034,UT011,0,0,0,0
M001,2,4,4,UT011,UT034,UT012,1,0,1,0
M001,2,4,5,UT012,UT034,UT011,4,0,4,0
M001,2,4,6,UT011,UT034,UT012,0,0,0,0
M001,2,5,1,UT012,UT035,UT011,1,0,1,0
M001,2,5,2,UT011,UT035,UT012,0,0,0,0
M001,2,5,3,UT012,UT035,UT011,4,0,4,0
M001,2,5,4,UT011,UT035,UT012,1,0,1,0
M001,2,5,5,UT012,UT035,UT011,2,0,2,0
M001,2,5,6,UT011,UT035,UT012,0,0,0,0
M001,2,6,1,UT012,UT036,UT011,6,0,6,0
M001,2,6,2,UT012,UT036,UT011,1,0,1,0
M001,2,6,3,UT011,UT036,UT012,0,0,0,0
M001,2,6,4,UT012,UT036,UT011,4,0,4,0
M001,2,6,5,UT011,UT036,UT012,0,0,0,0
M001,2,6,6,UT011,UT036,UT012,1,0,1,0
M002,1,1,1,UT003,UT041,UT004,4,0,4,0
M002,1,1,2,UT003,UT041,UT004,1,0,1,0
M002,1,1,3,UT004,UT041,UT003,0,0,0,0
M002,1,1,4,UT004,UT041,UT003,2,0,2,0
M002,1,1,5,UT003,UT041,UT004,6,0,6,0
M002,1,1,6,UT003,UT041,UT004,0,0,0,0
M002,1,2,1,UT004,UT042,UT003,1,0,1,0
M002,1,2,2,UT003,UT042,UT004,4,0,4,0
M002,1,2,3,UT003,UT042,UT004,0,0,0,0
M002,1,2,4,UT004,UT042,UT003,1,0,1,0
M002,1,2,5,UT003,UT042,UT004,2,0,2,0
M002,1,2,6,UT004,UT042,UT003,0,1,1,0
M002,1,3,1,UT003,UT043,UT004,6,0,6,0
