record_id,season,date,team,opponent,player,runs,balls,fours,sixes,strike_rate,wickets,overs_bowled,economy
1,2021,2022-07-02,Mumbai Indians,Rajasthan Royals,Suryakumar Yadav,23,13,1,1,176.92,0,1.1,5.91
2,2022,2022-05-13,Gujarat Titans,Mumbai Indians,Rashid Khan,83,50,8,6,166.0,0,2.8,11.35
3,2021,2022-10-22,Royal Challengers Bangalore,Punjab Kings,Glenn Maxwell,6,14,1,0,42.86,0,1.3,11.64
4,2025,2023-10-28,Delhi Capitals,Mumbai Indians,Anrich Nortje,15,39,3,0,38.46,0,3.5,9.9
5,2023,2021-08-21,Lucknow Super Giants,Kolkata Knight Riders,Ravi Bishnoi,10,7,2,0,142.86,3,3.6,11.79
6,2024,2023-04-18,Delhi Capitals,Gujarat Titans,Anrich Nortje,11,15,2,0,73.33,0,3.1,10.39
7,2021,2025-05-03,Lucknow Super Giants,Royal Challengers Bangalore,Krunal Pandya,10,20,2,0,50.0,0,3.8,10.43
8,2022,2021-06-05,Rajasthan Royals,Mumbai Indians,Jos Buttler,40,56,6,2,71.43,0,3.7,9.51
9,2023,2024-11-07,Kolkata Knight Riders,Gujarat Titans,Sunil Narine,18,34,4,0,52.94,0,2.7,7.2
10,2025,2022-06-24,Sunrisers Hyderabad,Punjab Kings,Heinrich Klaasen,16,13,4,0,123.08,1,3.6,6.36
11,2022,2023-05-22,Sunrisers Hyderabad,Chennai Super Kings,Aiden Markram,59,43,8,4,137.21,3,3.6,5.29
12,2021,2023-02-26,Gujarat Titans,Delhi Capitals,Mohammed Shami,9,12,2,0,75.0,0,3.9,11.86
13,2023,2021-11-04,Gujarat Titans,Royal Challengers Bangalore,Rashid Khan,80,60,4,3,133.33,0,3.3,9.3
14,2025,2021-05-10,Mumbai Indians,Sunrisers Hyderabad,Hardik Pandya,11,12,2,0,91.67,0,3.6,12.4
15,2021,2021-12-14,Punjab Kings,Chennai Super Kings,Arshdeep Singh,21,13,5,0,161.54,0,3.6,8.42
16,2022,2022-12-30,Gujarat Titans,Kolkata Knight Riders,Mohammed Shami,42,30,10,0,140.0,0,2.6,6.12
17,2022,2024-07-18,Chennai Super Kings,Sunrisers Hyderabad,Ruturaj Gaikwad,29,40,7,0,72.5,0,3.1,5.65
18,2021,2024-02-17,Mumbai Indians,Sunrisers Hyderabad,Rohit Sharma,17,20,4,0,85.0,0,1.4,12.31
19,2025,2023-11-25,Lucknow Super Giants,Punjab Kings,Nicholas Pooran,52,56,3,1,92.86,0,2.3,8.42
20,2024,2023-07-04,Mumbai Indians,Royal Challengers Bangalore,Rohit Sharma,43,51,1,3,84.31,0,2.6,6.27
21,2022,2021-09-02,Delhi Capitals,Gujarat Titans,David Warner,12,33,0,0,36.36,2,3.8,11.65
22,2022,2022-06-12,Sunrisers Hyderabad,Gujarat Titans,Aiden Markram,51,60,0,2,85.0,0,4.0,7.22
23,2024,2025-05-06,Delhi Capitals,Punjab Kings,Anrich Nortje,71,55,10,5,129.09,0,1.9,12.56
24,2025,2023-01-03,Gujarat Titans,Mumbai Indians,Mohammed Shami,1,8,0,0,12.5,0,3.6,6.4
25,2025,2024-08-01,Chennai Super Kings,Kolkata Knight Riders,Ruturaj Gaikwad,7,9,1,0,77.78,2,2.7,9.6
26,2021,2024-12-07,Lucknow Super Giants,Chennai Super Kings,Marcus Stoinis,72,42,8,5,171.43,2,1.6,10.64
27,2022,2025-01-05,Delhi Capitals,Punjab Kings,David Warner,38,46,7,1,82.61,2,3.8,5.27
28,2025,2024-04-06,Lucknow Super Giants,Chennai Super Kings,KL Rahul,32,18,4,2,177.78,2,3.6,11.88
29,2023,2024-04-17,Delhi Capitals,Royal Challengers Bangalore,Prithvi Shaw,38,50,9,0,76.0,0,2.7,12.28
30,2021,2021-11-06,Royal Challengers Bangalore,Rajasthan Royals,Virat Kohli,70,52,2,4,134.62,0,1.6,7.81
31,2023,2021-07-14,Gujarat Titans,Punjab Kings,David Miller,20,10,5,0,200.0,0,2.0,6.19
32,2023,2025-03-16,Royal Challengers Bangalore,Gujarat Titans,Dinesh Karthik,1,32,0,0,3.12,2,3.1,6.33
33,2021,2023-08-29,Rajasthan Royals,Lucknow Super Giants,Jos Buttler,1,13,0,0,7.69,1,3.4,11.74
34,2023,2021-10-28,Kolkata Knight Riders,Delhi Capitals,Varun Chakravarthy,49,27,8,2,181.48,3,3.2,12.24
35,2022,2021-05-21,Royal Challengers Bangalore,Kolkata Knight Riders,Rajat Patidar,21,16,5,0,131.25,0,3.4,6.02
36,2021,2023-10-30,Punjab Kings,Kolkata Knight Riders,Liam Livingstone,19,27,3,1,70.37,0,1.6,7.69
37,2021,2024-02-08,Delhi Capitals,Sunrisers Hyderabad,Anrich Nortje,43,30,8,1,143.33,2,1.3,12.58
38,2022,2021-11-09,Lucknow Super Giants,Delhi Capitals,KL Rahul,55,43,5,5,127.91,0,4.0,6.08
39,2025,2025-03-22,Kolkata Knight Riders,Rajasthan Royals,Shreyas Iyer,0,32,0,0,0.0,0,1.2,10.25
40,2023,2021-12-12,Lucknow Super Giants,Rajasthan Royals,Ravi Bishnoi,38,51,8,1,74.51,0,2.0,10.5
41,2025,2024-12-22,Royal Challengers Bangalore,Delhi Capitals,Rajat Patidar,48,65,10,1,73.85,0,1.9,9.36
42,2021,2023-08-29,Delhi Capitals,Rajasthan Royals,David Warner,74,55,9,5,134.55,0,2.3,6.82
43,2024,2024-02-20,Royal Challengers Bangalore,Chennai Super Kings,Glenn Maxwell,81,47,9,5,172.34,0,3.9,6.99
44,2023,2021-05-21,Kolkata Knight Riders,Delhi Capitals,Rinku Singh,3,7,0,0,42.86,0,3.7,9.58
45,2024,2022-01-28,Punjab Kings,Sunrisers Hyderabad,Liam Livingstone,88,46,0,1,191.3,1,1.7,11.31
46,2025,2022-08-24,Punjab Kings,Mumbai Indians,Arshdeep Singh,15,63,3,0,23.81,1,3.0,12.71
47,2025,2025-04-13,Rajasthan Royals,Gujarat Titans,Ravichandran Ashwin,64,62,6,6,103.23,1,3.2,8.81
48,2023,2023-12-19,Kolkata Knight Riders,Rajasthan Royals,Venkatesh Iyer,30,45,4,2,66.67,0,1.9,7.27
49,2023,2022-02-03,Gujarat Titans,Chennai Super Kings,Sai Sudharsan,24,19,2,2,126.32,0,2.2,9.32
50,2024,2023-06-07,Mumbai Indians,Delhi Capitals,Hardik Pandya,98,62,9,0,158.06,1,3.3,8.09
51,2021,2023-08-07,Rajasthan Royals,Delhi Capitals,Shimron Hetmyer,69,39,9,3,176.92,0,1.8,8.89
52,2024,2022-03-05,Rajasthan Royals,Punjab Kings,Trent Boult,59,58,2,0,101.72,2,2.8,10.24
53,2021,2022-04-08,Sunrisers Hyderabad,Royal Challengers Bangalore,Aiden Markram,8,8,2,0,100.0,0,2.0,10.99
54,2024,2021-09-15,Delhi Capitals,Punjab Kings,Axar Patel,2,35,0,0,5.71,4,2.0,10.14
55,2021,2021-05-12,Mumbai Indians,Delhi Capitals,Suryakumar Yadav,19,44,3,1,43.18,0,1.3,12.4
56,2024,2024-08-23,Delhi Capitals,Sunrisers Hyderabad,David Warner,14,43,2,1,32.56,0,1.1,7.57
57,2024,2024-07-26,Sunrisers Hyderabad,Kolkata Knight Riders,Abhishek Sharma,80,49,3,1,163.27,0,1.9,10.4
58,2021,2024-03-27,Lucknow Super Giants,Mumbai Indians,Ayush Badoni,47,32,1,5,146.88,0,2.3,8.93
59,2024,2022-02-08,Rajasthan Royals,Gujarat Titans,Trent Boult,22,32,5,0,68.75,0,3.8,11.09
60,2024,2022-08-16,Sunrisers Hyderabad,Delhi Capitals,Heinrich Klaasen,11,58,2,0,18.97,0,2.4,9.84
61,2024,2023-01-26,Rajasthan Royals,Mumbai Indians,Shimron Hetmyer,31,16,3,3,193.75,1,2.0,11.89
62,2023,2022-04-27,Gujarat Titans,Mumbai Indians,Rashid Khan,7,10,1,0,70.0,0,1.7,8.82
63,2024,2022-11-24,Punjab Kings,Mumbai Indians,Shikhar Dhawan,25,19,3,2,131.58,0,2.1,9.41
64,2023,2023-03-22,Sunrisers Hyderabad,Lucknow Super Giants,Heinrich Klaasen,58,49,4,4,118.37,0,1.4,6.66
65,2021,2022-06-18,Gujarat Titans,Royal Challengers Bangalore,Sai Sudharsan,61,52,4,4,117.31,3,3.5,7.45
66,2023,2025-03-21,Royal Challengers Bangalore,Rajasthan Royals,Virat Kohli,16,39,4,0,41.03,3,2.7,10.5
67,2022,2024-06-19,Punjab Kings,Chennai Super Kings,Shikhar Dhawan,30,23,7,0,130.43,0,3.9,7.12
68,2024,2024-01-03,Chennai Super Kings,Royal Challengers Bangalore,Shivam Dube,18,9,4,0,200.0,0,3.4,12.41
