match_id,season,match_date,team1,team2,venue,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match
M001,2022,2022-03-26,CSK,KKR,Wankhede Stadium,KKR,field,KKR,0,6,UT001
M002,2022,2022-03-27,DC,MI,Brabourne Stadium,DC,bat,DC,4,0,UT002
M003,2022,2022-03-27,PBKS,RCB,DY Patil Stadium,PBKS,field,PBKS,0,5,UT003
M004,2022,2022-03-28,GT,LSG,Wankhede Stadium,GT,field,GT,0,5,UT004
M005,2022,2022-03-29,SRH,RR,Dr DY Patil Stadium,RR,bat,RR,61,0,UT005
M006,2022,2022-03-30,KKR,RCB,Wankhede Stadium,RCB,field,RCB,0,3,UT006
M007,2022,2022-03-31,LSG,CSK,Brabourne Stadium,CSK,field,LSG,0,6,UT007
M008,2022,2022-04-01,KKR,PBKS,Wankhede Stadium,KKR,field,KKR,0,6,UT008
M009,2022,2022-04-02,RR,MI,DY Patil Stadium,RR,bat,RR,23,0,UT009
M010,2022,2022-04-02,GT,DC,MCA Stadium,GT,field,GT,14,0,UT010
M011,2022,2022-04-03,CSK,PBKS,Brabourne Stadium,PBKS,bat,PBKS,54,0,UT011
M012,2022,2022-04-04,LSG,SRH,Dr DY Patil Stadium,LSG,bat,LSG,12,0,UT012
M013,2022,2022-04-05,RCB,RR,Wankhede Stadium,RCB,field,RCB,0,4,UT013
M014,2022,2022-04-06,KKR,MI,MCA Stadium,MI,field,MI,0,5,UT014
M015,2022,2022-04-07,GT,PBKS,Brabourne Stadium,GT,bat,GT,6,0,UT015
M016,2022,2022-04-08,LSG,DC,DY Patil Stadium,DC,bat,LSG,0,6,UT016
M017,2022,2022-04-09,SRH,CSK,Dr DY Patil Stadium,SRH,field,SRH,8,0,UT017
M018,2022,2022-04-10,RCB,MI,Wankhede Stadium,RCB,bat,RCB,7,0,UT018
M019,2022,2022-04-10,KKR,DC,Brabourne Stadium,DC,field,DC,44,0,UT019
M020,2022,2022-04-11,RR,GT,DY Patil Stadium,GT,field,GT,0,7,UT020
M021,2022,2022-04-12,CSK,RCB,MCA Stadium,CSK,bat,RCB,0,5,UT021
M022,2022,2022-04-13,MI,PBKS,Brabourne Stadium,PBKS,field,PBKS,0,12,UT022
M023,2022,2022-04-14,KKR,SRH,Brabourne Stadium,SRH,bat,SRH,7,0,UT023
M024,2022,2022-04-15,LSG,MI,Mumbai Stadium,LSG,field,LSG,18,0,UT024
M025,2022,2022-04-16,RCB,DC,Wankhede Stadium,DC,field,RCB,16,0,UT025
M026,2022,2022-04-17,CSK,GT,MCA Stadium,GT,field,GT,0,3,UT026
M027,2022,2022-04-18,RR,KKR,Brabourne Stadium,RR,bat,RR,7,0,UT027
M028,2022,2022-04-19,LSG,RCB,MCA Stadium,RCB,field,LSG,0,8,UT028
M029,2022,2022-04-20,DC,PBKS,Brabourne Stadium,DC,bat,DC,9,0,UT029
M030,2022,2022-04-21,MI,CSK,DY Patil Stadium,CSK,field,CSK,0,3,UT030
M031,2022,2022-04-22,RR,DC,Wankhede Stadium,DC,bat,RR,15,0,UT031
M032,2022,2022-04-23,RCB,SRH,MCA Stadium,RCB,bat,SRH,0,9,UT032
M033,2022,2022-04-24,LSG,MI,Wankhede Stadium,MI,field,LSG,36,0,UT033
M034,2022,2022-04-25,GT,KKR,Narendra Modi Stadium,GT,bat,GT,8,0,UT034
M035,2022,2022-04-26,RCB,RR,MCA Stadium,RR,bat,RR,29,0,UT035
M036,2022,2022-04-27,GT,SRH,Wankhede Stadium,SRH,field,GT,5,0,UT036
M037,2022,2022-04-28,DC,KKR,Wankhede Stadium,DC,field,DC,4,0,UT037
M038,2022,2022-04-29,PBKS,LSG,MCA Stadium,LSG,field,LSG,0,20,UT038
M039,2022,2022-04-30,GT,RCB,Brabourne Stadium,RCB,field,GT,6,0,UT039
M040,2022,2022-05-01,DC,LSG,Wankhede Stadium,LSG,bat,LSG,0,6,UT040
M041,2022,2022-05-02,KKR,RR,Wankhede Stadium,KKR,field,KKR,7,0,UT041
M042,2022,2022-05-03,GT,PBKS,DY Patil Stadium,PBKS,field,PBKS,0,8,UT042
M043,2022,2022-05-04,RCB,CSK,MCA Stadium,CSK,field,CSK,0,6,UT043
M044,2022,2022-05-05,DC,SRH,Brabourne Stadium,SRH,bat,DC,21,0,UT044
M045,2022,2022-05-06,GT,MI,Brabourne Stadium,MI,field,MI,0,5,UT045
M046,2022,2022-05-07,PBKS,RR,Wankhede Stadium,RR,field,RR,6,0,UT046
M047,2022,2022-05-08,CSK,DC,DY Patil Stadium,DC,bat,DC,0,5,UT047
M048,2022,2022-05-09,MI,KKR,Dr DY Patil Stadium,KKR,field,KKR,52,0,UT048
M049,2022,2022-05-10,RCB,CSK,MCA Stadium,RCB,bat,RCB,13,0,UT049
M050,2022,2022-05-11,LSG,GT,Mumbai Stadium,GT,field,GT,62,0,UT050
M051,2023,2023-04-01,GT,CSK,Narendra Modi Stadium,GT,field,GT,0,5,UT051
M052,2023,2023-04-02,PBKS,KKR,PCA Stadium,KKR,bat,PBKS,7,0,UT052
M053,2023,2023-04-02,LSG,DC,Ekana Stadium,DC,field,LSG,50,0,UT053
M054,2023,2023-04-03,SRH,RR,Rajiv Gandhi Stadium,RR,bat,RR,72,0,UT054
M055,2023,2023-04-04,RCB,MI,Chinnaswamy Stadium,RCB,field,RCB,8,0,UT055
M056,2023,2023-04-05,CSK,LSG,Chepauk Stadium,CSK,bat,CSK,12,0,UT056
M057,2023,2023-04-06,KKR,RCB,Eden Gardens,RCB,field,KKR,81,0,UT057
M058,2023,2023-04-07,LSG,SRH,Ekana Stadium,SRH,bat,LSG,5,0,UT058
M059,2023,2023-04-08,RR,DC,Guptill Stadium,DC,field,RR,57,0,UT059
M060,2023,2023-04-09,MI,CSK,Wankhede Stadium,CSK,field,CSK,0,7,UT060
M061,2023,2023-04-10,GT,KKR,Narendra Modi Stadium,KKR,bat,KKR,0,3,UT061
M062,2023,2023-04-11,PBKS,SRH,PCA Stadium,SRH,field,SRH,8,0,UT062
M063,2023,2023-04-12,RCB,LSG,Chinnaswamy Stadium,LSG,field,LSG,1,0,UT063
M064,2023,2023-04-13,RR,CSK,Chepauk Stadium,CSK,bat,CSK,0,5,UT064
M065,2023,2023-04-14,KKR,SRH,Eden Gardens,KKR,bat,SRH,23,0,UT065
M066,2023,2023-04-15,RCB,DC,Chinnaswamy Stadium,DC,field,RCB,23,0,UT066
M067,2023,2023-04-16,MI,KKR,Wankhede Stadium,MI,field,MI,5,0,UT067
M068,2023,2023-04-17,GT,RR,Narendra Modi Stadium,RR,bat,RR,3,0,UT068
M069,2023,2023-04-18,LSG,PBKS,Ekana Stadium,PBKS,field,PBKS,0,2,UT069
M070,2023,2023-04-19,DC,SRH,Arun Jaitley Stadium,DC,bat,SRH,9,0,UT070
M071,2023,2023-04-20,CSK,RR,Chepauk Stadium,RR,field,RR,3,0,UT071
M072,2023,2023-04-21,PBKS,RCB,PCA Stadium,RCB,bat,RCB,24,0,UT072
M073,2023,2023-04-22,LSG,GT,Ekana Stadium,LSG,field,GT,7,0,UT073
M074,2023,2023-04-23,KKR,CSK,Eden Gardens,CSK,field,CSK,49,0,UT074
M075,2023,2023-04-24,SRH,DC,Hyderabad Stadium,SRH,bat,SRH,7,0,UT075
M076,2023,2023-04-25,RCB,RR,Chinnaswamy Stadium,RR,field,RCB,7,0,UT076
M077,2023,2023-04-26,GT,MI,Narendra Modi Stadium,GT,bat,GT,55,0,UT077
M078,2023,2023-04-27,KKR,RCB,Eden Gardens,RCB,field,RCB,0,8,UT078
M079,2023,2023-04-28,LSG,PBKS,Ekana Stadium,LSG,bat,LSG,56,0,UT079
M080,2023,2023-04-29,DC,SRH,Arun Jaitley Stadium,SRH,field,DC,7,0,UT080
M081,2023,2023-04-30,CSK,PBKS,Chepauk Stadium,CSK,bat,PBKS,0,4,UT081
M082,2023,2023-05-01,MI,PBKS,Wankhede Stadium,PBKS,field,MI,6,0,UT082
M083,2023,2023-05-02,GT,DC,Narendra Modi Stadium,DC,bat,GT,6,0,UT083
M084,2023,2023-05-03,LSG,CSK,Ekana Stadium,CSK,field,CSK,0,4,UT084
M085,2023,2023-05-04,SRH,KKR,Hyderabad Stadium,KKR,bat,KKR,5,0,UT085
M086,2023,2023-05-05,MI,GT,Wankhede Stadium,GT,field,MI,27,0,UT086
M087,2023,2023-05-06,DC,RCB,Arun Jaitley Stadium,RCB,bat,RCB,7,0,UT087
M088,2023,2023-05-07,RR,SRH,Jaipur Stadium,RR,bat,SRH,0,4,UT088
M089,2023,2023-05-08,KKR,PBKS,Eden Gardens,PBKS,field,KKR,5,0,UT089
M090,2023,2023-05-09,GT,LSG,Narendra Modi Stadium,GT,bat,GT,56,0,UT090
M091,2023,2023-05-10,CSK,DC,Chepauk Stadium,DC,field,CSK,27,0,UT091
M092,2023,2023-05-11,MI,RCB,Wankhede Stadium,RCB,field,MI,6,0,UT092
M093,2023,2023-05-12,GT,CSK,Narendra Modi Stadium,CSK,bat,GT,15,0,UT093
M094,2023,2023-05-13,LSG,SRH,Ekana Stadium,SRH,field,LSG,0,7,UT094
M095,2023,2023-05-14,RR,RCB,Jaipur Stadium,RCB,bat,RCB,112,0,UT095
M096,2023,2023-05-15,GT,SRH,Narendra Modi Stadium,SRH,field,GT,34,0,UT096
M097,2023,2023-05-16,LSG,MI,Ekana Stadium,MI,bat,LSG,5,0,UT097
M098,2023,2023-05-17,PBKS,DC,PCA Stadium,DC,field,DC,15,0,UT098
M099,2023,2023-05-18,RCB,GT,Chinnaswamy Stadium,GT,field,GT,6,0,UT099
M100,2023,2023-05-19,CSK,MI,Chepauk Stadium,MI,bat,CSK,8,0,UT100
